,station_name,label,line,direction,possible_stops,stop_id
343,Pelham Pkwy,5-manhattan,5,manhattan,"211N, 211S, 504N, 504S",NULL
344,Pelham Pkwy,2-manhattan,2,manhattan,"211N, 211S",NULL
345,Pelham Pkwy,5-wakefield 241 st,5,wakefield 241 st,"211N, 211S, 504N, 504S",211N
346,Pelham Pkwy,2-wakefield 241 st,2,wakefield 241 st,"211N, 211S",211N
347,Prospect Park,"Q-coney island, brighton beach",Q,"coney island, brighton beach","D26N, D26S",D26S
348,Prospect Park,"B-coney island, brighton beach",B,"coney island, brighton beach","D26N, D26S",D26S
349,Prospect Park,Q-manhattan,Q,manhattan,"D26N, D26S",NULL
350,Prospect Park,B-manhattan,B,manhattan,"D26N, D26S",NULL
351,Queens Plaza,"E-jamaica, forest hills",E,"jamaica, forest hills","G21N, G21S",G21N
352,Queens Plaza,"R-jamaica, forest hills",R,"jamaica, forest hills","G21N, G21S",G21N
353,Queens Plaza,"M-jamaica, forest hills",M,"jamaica, forest hills","G21N, G21S",G21N
354,Queens Plaza,R-manhattan,R,manhattan,"G21N, G21S",NULL
355,Queens Plaza,M-manhattan,M,manhattan,"G21N, G21S",NULL
356,Queens Plaza,E-manhattan,E,manhattan,"G21N, G21S",NULL
357,Roosevelt Island,F-jamaica,F,jamaica,"B06N, B06S",B06N
358,Roosevelt Island,F-south,F,south,"B06N, B06S",B06S
359,Simpson St,5-manhattan,5,manhattan,"217N, 217S",NULL
360,Simpson St,2-manhattan,2,manhattan,"217N, 217S",NULL
361,Simpson St,5-wakefield 241 st,5,wakefield 241 st,"217N, 217S",217N
362,Simpson St,2-wakefield 241 st,2,wakefield 241 st,"217N, 217S",217N
363,South Ferry,1-south,1,south,"142N, 142S",142S
364,South Ferry,1-north,1,north,"142N, 142S",142N
365,Sutphin Blvd - Archer Av - JFK Airport,J-north,J,north,"G06N, G06S",G06N
366,Sutphin Blvd - Archer Av - JFK Airport,E-north,E,north,"G06N, G06S",G06N
367,Sutphin Blvd - Archer Av - JFK Airport,LIRR-south,LIRR,south,,NULL
368,Sutphin Blvd - Archer Av - JFK Airport,LIRR-north,LIRR,north,,NULL
369,Sutphin Blvd - Archer Av - JFK Airport,E-south,E,south,"G06N, G06S",G06S
370,Sutphin Blvd - Archer Av - JFK Airport,Z-north,Z,north,"G06N, G06S",G06N
371,Sutphin Blvd - Archer Av - JFK Airport,Z-south,Z,south,"G06N, G06S",G06S
372,Sutphin Blvd - Archer Av - JFK Airport,J-south,J,south,"G06N, G06S",G06S
373,Times Sq - 42 St,N-south,N,south,"R16N, R16S",R16S
374,Times Sq - 42 St,W-south,W,south,"R16N, R16S",R16S
375,Times Sq - 42 St,R-south,R,south,"R16N, R16S",R16S
376,Times Sq - 42 St,Q-south,Q,south,"R16N, R16S",R16S
377,Times Sq - 42 St,S-north,S,north,,NULL
378,Times Sq - 42 St,Q-north,Q,north,"R16N, R16S",R16N
379,Times Sq - 42 St,R-north,R,north,"R16N, R16S",R16N
380,Times Sq - 42 St,7-north,7,north,"725N, 725S",725N
381,Times Sq - 42 St,W-north,W,north,"R16N, R16S",R16N
382,Times Sq - 42 St,N-north,N,north,"R16N, R16S",R16N
